DATE,TIME,PAIR,TYPE,RESULT,GROWTH %,COMMENTS,TRADE IMAGE
11/06/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/IDZg6YHE/
11/06/2024,10-11am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/RCuSsI23/
12/06/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/KppIzcLz/
12/06/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/KppIzcLz/
13/06/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/ucNNwmh7/
14/06/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/a0Zohuan/
14/06/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/a0Zohuan/
17/06/2024,8-9am,EUR/USD,SELL,WON,0.015,decided to tp on psar flip and Monday morning,https://www.tradingview.com/x/lKsCWtf0/
18/06/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/ObjHfUD4/
20/06/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/LxJLmB5r/
25/06/2024,8-9am,EUR/USD,BUY,WON,0.0073,,https://www.tradingview.com/x/2wRpomyi/
26/06/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/lE9O4KmE/
27/06/2024,8-9am,EUR/USD,BUY,BREAKEVEN,0,Break Even,https://www.tradingview.com/x/K3Y3x89l/
01/07/2024,7-8am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/QOa47Frl/
01/07/2024,7-8am,EUR/USD,SELL,BREAKEVEN,0,BREAKEVEN,https://www.tradingview.com/x/QOa47Frl/
02/07/2024,7-8am,EUR/USD,SELL,WON,0.015,Hit TP 2%,https://www.tradingview.com/x/zD8ZANvK/
03/07/2024,7-8am,EUR/USD,BUY,WON,0.017,Hit TP 2%,https://www.tradingview.com/x/xDezAMGw/
03/07/2024,7-8am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/xDezAMGw/
09/07/2024,8-9am,EUR/USD,BUY,LOST,-0.01,risky volume still low,https://www.tradingview.com/x/BFyQDCfW/
09/07/2024,8-9am,EUR/USD,SELL,WON,0.02,very cautious,https://www.tradingview.com/x/BFyQDCfW/
10/07/2024,8-9am,EUR/USD,SELL,LOST,-0.01,just stopped out by stop loss being in wrong position,https://www.tradingview.com/x/aCO5XI4a/
10/07/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/O9oDATj6/
11/07/2024,8-9am,EUR/USD,BUY,WON,0.01,went 2% TP,https://www.tradingview.com/x/GFWMPNJz/
17/07/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/RvXVTYXX/
18/07/2024,8-9am,EUR/USD,BUY,BREAKEVEN,0,breakeven,https://www.tradingview.com/x/XQ5wDMVG/
18/07/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/XQ5wDMVG/
23/07/2024,8-9am,EUR/USD,BUY,BREAKEVEN,0,Would Have lost,https://www.tradingview.com/x/4F9qdXdu/
23/07/2024,8-9am,EUR/USD,SELL,WON,0.01,Would have hit TP,https://www.tradingview.com/x/4F9qdXdu/
24/07/2024,10-11am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/TUNhbTDl/
25/07/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/Gnpbhg7y/
26/07/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/M6zfPO6A/
26/07/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/M6zfPO6A/
07/08/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/BP7OTN5z/
08/08/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/uXqHbFkn/
09/08/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/TkXEPpc0/
09/08/2024,8-9am,EUR/USD,SELL,WON,0.015,,https://www.tradingview.com/x/TkXEPpc0/
13/08/2024,8-9am,EUR/USD,SELL,WON,0.018,went to TP (being cautious),https://www.tradingview.com/x/6lT4WXLr/
15/08/2024,3-4pm,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/xGVJCIfl/
16/08/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/rCoOoMw0/
16/08/2024,8-9am,EUR/USD,SELL,WON,0.018,A bit too cautious price went into buy zone so took out early. went on to 2%,https://www.tradingview.com/x/rCoOoMw0/
20/08/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/CjZ2pQb0/
20/08/2024,8-9am,EUR/USD,SELL,WON,0.018,A bit too cautious price went into buy zone so took out early. went on to 2%,https://www.tradingview.com/x/CjZ2pQb0/
21/08/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/NqKF29DI/
21/08/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/NqKF29DI/
23/08/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/A02knKD4/
27/08/2024,8-9am,EUR/USD,BUY,WON,0.01,,https://www.tradingview.com/x/IjUylbBx/
28/08/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/tVzUQ3je/
04/09/2024,8-9am,EUR/USD,BUY,WON,0.015,,https://www.tradingview.com/x/ArbZkqVh/
05/09/2024,8-9am,EUR/USD,SELL,LOST,0,put SL to entry,https://www.tradingview.com/x/7WGtFj2e/
05/09/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/7WGtFj2e/
10/09/2024,3-4pm,US100,SELL,LOST,-0.01,,https://www.tradingview.com/x/9w4shrf9/
11/09/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/xVNMPh52/
11/09/2024,8-9am,EUR/USD,BUY,WON,0.01,Took profit at 1% because price in sell zone,https://www.tradingview.com/x/xVNMPh52/
12/09/2024,3-4pm,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/1lFqi5xA/
12/09/2024,4-5pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/Z5nBcRbY/
13/09/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/yc97E5P8/
13/09/2024,7-8pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/zgD2EDG3/
17/09/2024,6-7pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/EVQ5Upk4/
17/09/2024,3-4pm,EUR/USD,SELL,LOST,-0.01,4 peices of non red flag news at 3pm (moved 5 pips) hit my sl,https://www.tradingview.com/x/AL8D0bcR/
18/09/2024,2-3pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/e0FgCzru/
19/09/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/1Hg2kdAT/
19/09/2024,2-3pm,US100,BUY,WON,0.015,,https://www.tradingview.com/x/aC87UKuO/
20/09/2024,8-9am,EUR/USD,SELL,LOST,-0.01,Sl hit by a few 10ths of a pip then went on to hit TP,https://www.tradingview.com/x/R4k945K1/
24/09/2024,2-3pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/67N2uZGw/
25/09/2024,8-9am,EUR/USD,SELL,BREAKEVEN,0,put SL to break even (protect equity) the trade would have lost,https://www.tradingview.com/x/ml2KAAGK/
25/09/2024,2-3pm,US100,BUY,WON,0.015,"Took profit early, price turned after and would have lost",https://www.tradingview.com/x/955Bz0SE/
26/09/2024,8-9am,EUR/USD,SELL,WON,0.015,got out early because of red flag news,https://www.tradingview.com/x/bOcUP1ld/
27/09/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/yoOnrn8Y/
27/09/2024,9-10am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/yoOnrn8Y/
02/10/2024,3-4pm,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/awt8Z152/
02/10/2024,3-4pm,US100,BUY,BREAKEVEN,0,"put sl to breakeven too early, price took entry out for break even and then went onto hit tp",https://www.tradingview.com/x/dXt40l1r/
08/10/2024,2-3pm,US100,BUY,WON,0.02,,https://www.tradingview.com/x/V5calZc8/
09/10/2024,8-9am,EUR/USD,BUY,WON,0.015,Trade would have lost if I had not got out early,https://www.tradingview.com/x/59PtNawb/
10/10/2024,8-9am,EUR/USD,BUY,WON,0.01,price would of hit sl,https://www.tradingview.com/x/vfLGeuuB/
11/10/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/SxTyOHjf/
11/10/2024,10-11am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/6OPMSupv/
15/10/2024,2-3pm,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/syQTZ1x6/
15/10/2024,3-4pm,EUR/USD,SELL,WON,0.015,took out on EMA 462 but would have won 2%,https://www.tradingview.com/x/syQTZ1x6/
16/10/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/XdxJJhyw/
16/10/2024,9-10am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/jgdhUdJ9/
17/10/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/QFRBYZ8j/
17/10/2024,3-4pm,US100,BUY,LOST,-0.01,,https://www.tradingview.com/x/RMLVvKsY/
18/10/2024,8-9am,EUR/USD,SELL,WON,0.01,,https://www.tradingview.com/x/Tl7L2VA4/
22/10/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/FwYYb9nL/
23/10/2024,9-10am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/RD817IBR/
23/10/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/uzFL0zfU/
25/10/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/kSezqact/
30/10/2024,1-2pm,US100,BUY,WON,0.02,,https://www.tradingview.com/x/2lfwwuXk/
31/10/2024,8-9am,EUR/USD,SELL,BREAKEVEN,0,"Break even, trade would have lost",https://www.tradingview.com/x/vCtNyB28/
31/10/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/vCtNyB28/
05/11/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/9O9UQmgv/
05/11/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/9O9UQmgv/
06/11/2024,3-4pm,US100,SELL,LOST,-0.01,,https://www.tradingview.com/x/4gmAQbNq/
06/11/2024,3-4pm,US100,SELL,BREAKEVEN,0,,https://www.tradingview.com/x/4gmAQbNq/
08/11/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/Ve0dgBTu/
12/11/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/rbsmmRVC/
12/11/2024,9-10am,EUR/USD,SELL,WON,0.018,,https://www.tradingview.com/x/rbsmmRVC/
13/11/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/deKk7LS5/
14/11/2024,3-4pm,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/OCLMFnpj/
14/11/2024,3-4pm,US100,BUY,BREAKEVEN,0,breakeven,https://www.tradingview.com/x/5gngho1z/
15/11/2024,9-10am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/v0axB3SO/
19/11/2024,8-9am,EUR/USD,SELL,LOST,-0.01,"Anticipated a red trend on our indicator, didnt happen, should be NO trade",https://www.tradingview.com/x/VvbTmd5R/
19/11/2024,9-10am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/Ac91vlZd/
20/11/2024,8-9am,EUR/USD,SELL,BREAKEVEN,0,St L to entry and breakeven BUT would have won if not moved SL,https://www.tradingview.com/x/nLnF4Xn1/
20/11/2024,9-10am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/8m86BZlT/
21/11/2024,8-9am,EUR/USD,BUY,WON,0.018,,https://www.tradingview.com/x/NaWg8zqJ/
25/11/2024,3-4pm,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/2PRkJeST/
27/11/2024,8-9am,EUR/USD,SELL,WON,0.004,,https://www.tradingview.com/x/sd0fdkTD/
29/11/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/HhaVlbb2/
02/12/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/EILMLwpt/
03/12/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/3IMV0pUC/
03/12/2024,9-10am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/Cgsl5pXi/
04/12/2024,9-10am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/7POCxHZe/
05/12/2024,8-9am,EUR/USD,BUY,WON,0.016,,https://www.tradingview.com/x/BGsoaxVp/
06/12/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/IOSBqeEL/
09/12/2024,3-4pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/cS4cvyyk/
10/12/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/eNZ2Rz3U/
10/12/2024,9-10am,EUR/USD,SELL,WON,0.01,took partial profit but went to 2%,https://www.tradingview.com/x/eNZ2Rz3U/
11/12/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/LluF0MOk/
11/12/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/LluF0MOk/
12/12/2024,9-10am,EUR/USD,BUY,WON,0.004,,https://www.tradingview.com/x/eo6NndKx/
13/12/2024,8-9am,EUR/USD,SELL,LOST,-0.01,"manual error, anticipated trend colour change, didnt happen",https://www.tradingview.com/x/Gh98O8Z9/
13/12/2024,3-4pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/nkvguoze/
17/12/2024,2-3pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/PZM3Pdzu/
18/12/2024,2-3pm,US100,BUY,WON,0.01,,https://www.tradingview.com/x/HZJDTj14/
